,identifier,IE_number,Handle
226,fc000207,IE111885,10381/74229
227,cc002034,IE274682,10381/54570
228,pc003337,IE1549036,10381/463018
229,cc002036,IE263185,10381/412210
230,sj000318,IE1549483,10381/41875
231,a37542,IE1549174,10381/49768
232,pi015143,IE1549303,10381/172641
233,cr002336,IE1549438,10381/33278
234,pi011463,IE1549381,10381/89497
235,pi000686,IE1549480,10381/462287
236,cf002558,IE179816,10381/50568
237,pc004493,IE1549354,10381/462013
238,pi006826,IE1549264,10381/461859
239,pc003336,IE1549372,10381/462055
240,is002205,IE1549195,10381/463282
241,dc000293,IE1249799,10381/992891
242,is001810,IE1549624,10381/252266
243,mp005139,IE8283242,10381/74798
244,jc018200,IE1549639,10381/234196
245,pi016395,IE1549084,10381/217808
246,is003994,IE1549495,10381/79253
247,cc002033,IE274738,10381/54398
248,a14302,IE1549561,10381/252276
249,df000366,IE155626,10381/145827
250,jc019261,IE1549261,10381/236898
251,cc000498,IE238852,10381/53206
252,b30374,IE1549171,10381/463193
253,wp001064,IE1549192,10381/72265
254,jc019347,IE1549537,10381/999914
255,a41939,IE1549366,10381/462039
256,pi009827,IE1549540,10381/50234
257,pi009228,IE1549312,10381/49971
258,pi006817,IE1549243,10381/461812
259,pc003339,IE1549339,10381/461996
260,pc003334,IE1549395,10381/462117
261,pi009247,IE1549240,10381/50136
262,pi006816,IE1549636,10381/462544
263,is003908,IE1316737,10381/458391
264,b51900,IE555340,10381/252203
265,pi000680,IE1549051,10381/106237
266,pi009822,IE1548946,10381/50063
267,b30373,IE1549198,10381/150927
268,ca000147,IE1173641,10381/72736
269,is002817,IE1549429,10381/73881
270,is007611,IE1549099,10381/205788
271,ca000191,IE1173392,10381/72763
272,sj000339,IE1549096,10381/92976
273,b51830,IE547522,10381/252299
274,pc003327,IE1549675,10381/462616
275,pc003340,IE1549231,10381/472530
276,mp010329,IE1549111,10381/172570
277,b28535,IE1549648,10381/41180
278,pi006825,IE1549525,10381/462362
279,is003844,IE1316891,10381/458651
280,cc000275,IE181437,10381/53100
281,a14152,IE1549405,10381/172562
282,sj000345,IE1549663,10381/15614
283,a14212,IE1549498,10381/252575
284,is003906,IE1358395,10381/460232
285,dc000579,IE1238859,10381/49287
286,dc000493,IE1233031,10381/993488
287,fc000320,IE114474,10381/74481
288,mp015335,IE1548967,10381/462936
289,cg001293,IE72574,10381/82790
290,is003898,IE1549268,10381/461876
291,pc003332,IE1549279,10381/461908
292,df000362,IE179771,10381/145902
293,is004001,IE1549609,10381/79466
294,pi006822,IE1549183,10381/463246
295,a14276,IE1548985,10381/252224
296,b46882,IE421372,10381/252295
297,b30378,IE1549549,10381/462416
298,b52611,IE1549276,10381/44979
299,is003843,IE8830902,10381/473586
300,b27928,IE560925,10381/165080
301,is006221,IE1549399,10381/173848
302,a17985,IE1549654,10381/49796
303,pi015174,IE1549582,10381/462449
304,wp007473,IE1549423,10381/252258
305,pi003858,IE1549486,10381/252281
306,rg003532,IE899004,10381/62697
307,cr001311,IE1358171,10381/79052
308,b30383,IE1549186,10381/463262
309,is003835,IE1253323,10381/455796
310,cr002335,IE1357678,10381/33289
311,pc004488,IE1549126,10381/463108
312,pi003953,IE1548970,10381/151411
313,a14367,IE1549447,10381/252250
314,jc019403,IE1549576,10381/999938
315,pi008043,IE1549336,10381/41619
316,mp004878,IE808375,10381/252852
317,mp009291,IE736834,10381/252147
318,cr001332,IE1549546,10381/40668
319,b47228,IE432004,10381/105011
320,jc019436,IE1549075,10381/235763
321,jc018233,IE1549522,10381/235201
322,pi006831,IE1549645,10381/462561
323,cr004027,IE1549570,10381/73952
324,pi000683,IE1549573,10381/137118
325,pc002856,IE1549489,10381/252142
326,mp007357,IE696292,10381/252286
327,pc004489,IE1549246,10381/461828
328,pc003329,IE1549492,10381/462302
329,cr003278,IE1316915,10381/42910
