verbose name,date,count_in
L4 Dome Gallery OLD State Library Victoria,2022-06-11,0
L4 Dome Gallery OLD State Library Victoria,2022-06-12,0
L5 Dome Gallery State Library Victoria,2022-06-06,0
L5 Dome Gallery State Library Victoria,2022-06-07,0
L5 Dome Gallery State Library Victoria,2022-06-08,0
L5 Dome Gallery State Library Victoria,2022-06-09,0
L5 Dome Gallery State Library Victoria,2022-06-10,0
L5 Dome Gallery State Library Victoria,2022-06-11,0
L5 Dome Gallery State Library Victoria,2022-06-12,0
L5 Dome Gallery Void Test State Library Victoria,2022-06-06,0
L5 Dome Gallery Void Test State Library Victoria,2022-06-07,0
L5 Dome Gallery Void Test State Library Victoria,2022-06-08,0
L5 Dome Gallery Void Test State Library Victoria,2022-06-09,0
L5 Dome Gallery Void Test State Library Victoria,2022-06-10,0
L5 Dome Gallery Void Test State Library Victoria,2022-06-11,0
L5 Dome Gallery Void Test State Library Victoria,2022-06-12,0
Lift 3 test State Library Victoria,2022-06-06,0
Lift 3 test State Library Victoria,2022-06-07,0
Lift 3 test State Library Victoria,2022-06-08,0
Lift 3 test State Library Victoria,2022-06-09,0
Lift 3 test State Library Victoria,2022-06-10,0
Lift 3 test State Library Victoria,2022-06-11,0
Lift 3 test State Library Victoria,2022-06-12,0
Occupancy security State Library Victoria,2022-06-06,3675
Occupancy security State Library Victoria,2022-06-07,3588
Occupancy security State Library Victoria,2022-06-08,3762
Occupancy security State Library Victoria,2022-06-09,4102
Occupancy security State Library Victoria,2022-06-10,3834
Occupancy security State Library Victoria,2022-06-11,4875
Occupancy security State Library Victoria,2022-06-12,5142
Room - Arts Reading Room State Library Victoria,2022-06-06,129
Room - Arts Reading Room State Library Victoria,2022-06-07,108
Room - Arts Reading Room State Library Victoria,2022-06-08,152
Room - Arts Reading Room State Library Victoria,2022-06-09,133
Room - Arts Reading Room State Library Victoria,2022-06-10,129
Room - Arts Reading Room State Library Victoria,2022-06-11,199
Room - Arts Reading Room State Library Victoria,2022-06-12,224
Room - Children's Quarter Adult State Library Victoria,2022-06-06,303
Room - Children's Quarter Adult State Library Victoria,2022-06-07,699
Room - Children's Quarter Adult State Library Victoria,2022-06-08,329
Room - Children's Quarter Adult State Library Victoria,2022-06-09,343
Room - Children's Quarter Adult State Library Victoria,2022-06-10,299
Room - Children's Quarter Adult State Library Victoria,2022-06-11,805
Room - Children's Quarter Adult State Library Victoria,2022-06-12,991
Room - Children's Quarter All State Library Victoria,2022-06-06,361
Room - Children's Quarter All State Library Victoria,2022-06-07,742
Room - Children's Quarter All State Library Victoria,2022-06-08,385
Room - Children's Quarter All State Library Victoria,2022-06-09,413
Room - Children's Quarter All State Library Victoria,2022-06-10,358
Room - Children's Quarter All State Library Victoria,2022-06-11,924
Room - Children's Quarter All State Library Victoria,2022-06-12,1149
Room - Children's Quarter Child State Library Victoria,2022-06-06,58
Room - Children's Quarter Child State Library Victoria,2022-06-07,43
Room - Children's Quarter Child State Library Victoria,2022-06-08,56
Room - Children's Quarter Child State Library Victoria,2022-06-09,70
Room - Children's Quarter Child State Library Victoria,2022-06-10,59
Room - Children's Quarter Child State Library Victoria,2022-06-11,119
Room - Children's Quarter Child State Library Victoria,2022-06-12,158
Room - Conference Centre State Library Victoria,2022-06-06,274
Room - Conference Centre State Library Victoria,2022-06-07,648
Room - Conference Centre State Library Victoria,2022-06-08,488
Room - Conference Centre State Library Victoria,2022-06-09,558
Room - Conference Centre State Library Victoria,2022-06-10,628
Room - Conference Centre State Library Victoria,2022-06-11,278
Room - Conference Centre State Library Victoria,2022-06-12,227
Room - Conversation Quarter State Library Victoria,2022-06-06,3
Room - Conversation Quarter State Library Victoria,2022-06-07,128
Room - Conversation Quarter State Library Victoria,2022-06-08,9
Room - Conversation Quarter State Library Victoria,2022-06-09,7
Room - Conversation Quarter State Library Victoria,2022-06-10,7
Room - Conversation Quarter State Library Victoria,2022-06-11,25
Room - Conversation Quarter State Library Victoria,2022-06-12,10
Room - Cowen Gallery State Library Victoria,2022-06-06,3854
Room - Cowen Gallery State Library Victoria,2022-06-07,4070
Room - Cowen Gallery State Library Victoria,2022-06-08,4112
Room - Cowen Gallery State Library Victoria,2022-06-09,4157
Room - Cowen Gallery State Library Victoria,2022-06-10,4520
Room - Cowen Gallery State Library Victoria,2022-06-11,6073
Room - Cowen Gallery State Library Victoria,2022-06-12,6523
Room - Create Quarter State Library Victoria,2022-06-06,556
Room - Create Quarter State Library Victoria,2022-06-07,436
Room - Create Quarter State Library Victoria,2022-06-08,244
Room - Create Quarter State Library Victoria,2022-06-09,772
Room - Create Quarter State Library Victoria,2022-06-10,617
Room - Create Quarter State Library Victoria,2022-06-11,990
Room - Create Quarter State Library Victoria,2022-06-12,1077
Room - Dome Mezz L3 State Library Victoria,2022-06-06,2737
Room - Dome Mezz L3 State Library Victoria,2022-06-07,2825
Room - Dome Mezz L3 State Library Victoria,2022-06-08,2937
Room - Dome Mezz L3 State Library Victoria,2022-06-09,3118
Room - Dome Mezz L3 State Library Victoria,2022-06-10,3102
Room - Dome Mezz L3 State Library Victoria,2022-06-11,4201
Room - Dome Mezz L3 State Library Victoria,2022-06-12,4568
Room - HCRR State Library Victoria,2022-06-06,0
Room - HCRR State Library Victoria,2022-06-07,0
Room - HCRR State Library Victoria,2022-06-08,0
Room - HCRR State Library Victoria,2022-06-09,0
Room - HCRR State Library Victoria,2022-06-10,0
Room - HCRR State Library Victoria,2022-06-11,0
Room - HCRR State Library Victoria,2022-06-12,0
Room - Hansen Hall State Library Victoria,2022-06-06,949
Room - Hansen Hall State Library Victoria,2022-06-07,897
Room - Hansen Hall State Library Victoria,2022-06-08,913
Room - Hansen Hall State Library Victoria,2022-06-09,938
Room - Hansen Hall State Library Victoria,2022-06-10,835
Room - Hansen Hall State Library Victoria,2022-06-11,1026
Room - Hansen Hall State Library Victoria,2022-06-12,1086
Room - Ian Potter Queen's Hall- Ground State Library Victoria,2022-06-06,472
Room - Ian Potter Queen's Hall- Ground State Library Victoria,2022-06-07,451
Room - Ian Potter Queen's Hall- Ground State Library Victoria,2022-06-08,587
Room - Ian Potter Queen's Hall- Ground State Library Victoria,2022-06-09,827
Room - Ian Potter Queen's Hall- Ground State Library Victoria,2022-06-10,460
Room - Ian Potter Queen's Hall- Ground State Library Victoria,2022-06-11,580
Room - Ian Potter Queen's Hall- Ground State Library Victoria,2022-06-12,704
Room - Ian Potter Queen's Hall- Mezz State Library Victoria,2022-06-06,188
Room - Ian Potter Queen's Hall- Mezz State Library Victoria,2022-06-07,198
Room - Ian Potter Queen's Hall- Mezz State Library Victoria,2022-06-08,215
Room - Ian Potter Queen's Hall- Mezz State Library Victoria,2022-06-09,189
Room - Ian Potter Queen's Hall- Mezz State Library Victoria,2022-06-10,152
Room - Ian Potter Queen's Hall- Mezz State Library Victoria,2022-06-11,246
Room - Ian Potter Queen's Hall- Mezz State Library Victoria,2022-06-12,276
Room - Ideas Quarter State Library Victoria,2022-06-06,48
Room - Ideas Quarter State Library Victoria,2022-06-07,46
Room - Ideas Quarter State Library Victoria,2022-06-08,49
Room - Ideas Quarter State Library Victoria,2022-06-09,158
Room - Ideas Quarter State Library Victoria,2022-06-10,30
Room - Ideas Quarter State Library Victoria,2022-06-11,26
Room - Ideas Quarter State Library Victoria,2022-06-12,15
Room - KMG State Library Victoria,2022-06-06,2
Room - KMG State Library Victoria,2022-06-07,1
Room - KMG State Library Victoria,2022-06-08,1
Room - KMG State Library Victoria,2022-06-09,20
Room - KMG State Library Victoria,2022-06-10,9
Room - KMG State Library Victoria,2022-06-11,1
Room - KMG State Library Victoria,2022-06-12,0
Room - Latrobe Reading Room (Dome) State Library Victoria,2022-06-06,1671
Room - Latrobe Reading Room (Dome) State Library Victoria,2022-06-07,1692
Room - Latrobe Reading Room (Dome) State Library Victoria,2022-06-08,1722
Room - Latrobe Reading Room (Dome) State Library Victoria,2022-06-09,2110
Room - Latrobe Reading Room (Dome) State Library Victoria,2022-06-10,1790
Room - Latrobe Reading Room (Dome) State Library Victoria,2022-06-11,2551
Room - Latrobe Reading Room (Dome) State Library Victoria,2022-06-12,2848
Room - Mr Tulk Cafe State Library Victoria,2022-06-06,1206
Room - Mr Tulk Cafe State Library Victoria,2022-06-07,1087
Room - Mr Tulk Cafe State Library Victoria,2022-06-08,1379
Room - Mr Tulk Cafe State Library Victoria,2022-06-09,1241
Room - Mr Tulk Cafe State Library Victoria,2022-06-10,1193
Room - Mr Tulk Cafe State Library Victoria,2022-06-11,1551
Room - Mr Tulk Cafe State Library Victoria,2022-06-12,1524
Room - Newspapers and Family History Reading Rooms State Library Victoria,2022-06-06,572
Room - Newspapers and Family History Reading Rooms State Library Victoria,2022-06-07,517
Room - Newspapers and Family History Reading Rooms State Library Victoria,2022-06-08,608
Room - Newspapers and Family History Reading Rooms State Library Victoria,2022-06-09,561
Room - Newspapers and Family History Reading Rooms State Library Victoria,2022-06-10,675
Room - Newspapers and Family History Reading Rooms State Library Victoria,2022-06-11,898
Room - Newspapers and Family History Reading Rooms State Library Victoria,2022-06-12,915
Room - North Rotunda State Library Victoria,2022-06-06,96
Room - North Rotunda State Library Victoria,2022-06-07,93
Room - North Rotunda State Library Victoria,2022-06-08,52
Room - North Rotunda State Library Victoria,2022-06-09,49
Room - North Rotunda State Library Victoria,2022-06-10,166
Room - North Rotunda State Library Victoria,2022-06-11,12
Room - North Rotunda State Library Victoria,2022-06-12,19
Room - Queens Hall  ( ex Stair  inc. lift L3 &l4 L&R) State Library Victoria,2022-06-06,660
Room - Queens Hall  ( ex Stair  inc. lift L3 &l4 L&R) State Library Victoria,2022-06-07,649
Room - Queens Hall  ( ex Stair  inc. lift L3 &l4 L&R) State Library Victoria,2022-06-08,802
Room - Queens Hall  ( ex Stair  inc. lift L3 &l4 L&R) State Library Victoria,2022-06-09,1016
Room - Queens Hall  ( ex Stair  inc. lift L3 &l4 L&R) State Library Victoria,2022-06-10,612
Room - Queens Hall  ( ex Stair  inc. lift L3 &l4 L&R) State Library Victoria,2022-06-11,826
Room - Queens Hall  ( ex Stair  inc. lift L3 &l4 L&R) State Library Victoria,2022-06-12,980
Room - Redmond Barry Reading Room State Library Victoria,2022-06-06,2396
Room - Redmond Barry Reading Room State Library Victoria,2022-06-07,2261
Room - Redmond Barry Reading Room State Library Victoria,2022-06-08,2584
Room - Redmond Barry Reading Room State Library Victoria,2022-06-09,2618
Room - Redmond Barry Reading Room State Library Victoria,2022-06-10,2462
Room - Redmond Barry Reading Room State Library Victoria,2022-06-11,3318
Room - Redmond Barry Reading Room State Library Victoria,2022-06-12,3568
Room - Russell Street Welcome Zone State Library Victoria,2022-06-06,1049
Room - Russell Street Welcome Zone State Library Victoria,2022-06-07,979
Room - Russell Street Welcome Zone State Library Victoria,2022-06-08,1138
Room - Russell Street Welcome Zone State Library Victoria,2022-06-09,1279
Room - Russell Street Welcome Zone State Library Victoria,2022-06-10,941
Room - Russell Street Welcome Zone State Library Victoria,2022-06-11,1305
Room - Russell Street Welcome Zone State Library Victoria,2022-06-12,1359
Room - South Rotunda State Library Victoria,2022-06-06,530
Room - South Rotunda State Library Victoria,2022-06-07,724
Room - South Rotunda State Library Victoria,2022-06-08,508
Room - South Rotunda State Library Victoria,2022-06-09,619
Room - South Rotunda State Library Victoria,2022-06-10,882
Room - South Rotunda State Library Victoria,2022-06-11,1264
Room - South Rotunda State Library Victoria,2022-06-12,1342
Room - Start Space Mez State Library Victoria,2022-06-06,27
Room - Start Space Mez State Library Victoria,2022-06-07,4
Room - Start Space Mez State Library Victoria,2022-06-08,13
Room - Start Space Mez State Library Victoria,2022-06-09,4
Room - Start Space Mez State Library Victoria,2022-06-10,6
Room - Start Space Mez State Library Victoria,2022-06-11,5
Room - Start Space Mez State Library Victoria,2022-06-12,12
Room - Study Space State Library Victoria,2022-06-06,231
Room - Study Space State Library Victoria,2022-06-07,215
Room - Study Space State Library Victoria,2022-06-08,267
Room - Study Space State Library Victoria,2022-06-09,236
Room - Study Space State Library Victoria,2022-06-10,227
Room - Study Space State Library Victoria,2022-06-11,235
Room - Study Space State Library Victoria,2022-06-12,299
Room - Swanston St Foyer State Library Victoria,2022-06-06,7285
Room - Swanston St Foyer State Library Victoria,2022-06-07,6919
Room - Swanston St Foyer State Library Victoria,2022-06-08,7388
Room - Swanston St Foyer State Library Victoria,2022-06-09,8063
